search_title,search_authors,search_publisher,title,authors,publisher,published_date,description,page_count,categories,language,thumbnail,use_title,use_author,use_publisher,errors
Baysian Inference in Statistical Analysis,Box，Tiao,WILEY INTERSCIENCE,Bayesian Inference in Statistical Analysis,"George E. P. Box, George C. Tiao",John Wiley & Sons,2011-01-25,"Its main objective is to examine the application and relevance of Bayes' theorem to problems that arise in scientific investigation in which inferences must be made regarding parameter values about which little is known a priori. Begins with a discussion of some important general aspects of the Bayesian approach such as the choice of prior distribution, particularly noninformative prior distribution, the problem of nuisance parameters and the role of sufficient statistics, followed by many standard problems concerned with the comparison of location and scale parameters. The main thrust is an investigation of questions with appropriate analysis of mathematical results which are illustrated with numerical examples, providing evidence of the value of the Bayesian approach....",610,Mathematics,en,http://books.google.com/books/content?id=T8Askeyk1k4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
Baysian Nonparametrics,Hjiot，Holmes，Muller and Walker,Cambrige university press,,,,,,,,,,,,,1
Baysian Statistical Modeling ,Peter Congdon,Wiley series in probability and statistics,Bayesian Statistical Modelling,Peter Congdon,John Wiley & Sons,2007-04-04,"Bayesian methods combine the evidence from the data at hand with previous quantitative knowledge to analyse practical problems in a wide range of areas. The calculations were previously complex, but it is now possible to routinely apply Bayesian methods due to advances in computing technology and the use of new sampling methods for estimating parameters. Such developments together with the availability of freeware such as WINBUGS and R have facilitated a rapid growth in the use of Bayesian methods, allowing their application in many scientific disciplines, including applied statistics, public health research, medical science, the social sciences and economics. Following the success of the first edition, this reworked and updated book provides an accessible approach to Bayesian computing and analysis, with an emphasis on the principles of prior selection, identification and the interpretation of real data sets. The second edition: Provides an integrated presentation of theory, examples, applications and computer algorithms. Discusses the role of Markov Chain Monte Carlo methods in computing and estimation. Includes a wide range of interdisciplinary applications, and a large selection of worked examples from the health and social sciences. Features a comprehensive range of methodologies and modelling techniques, and examines model fitting in practice using Bayesian principles. Provides exercises designed to help reinforce the reader’s knowledge and a supplementary website containing data sets and relevant programs. Bayesian Statistical Modelling is ideal for researchers in applied statistics, medical science, public health and the social sciences, who will benefit greatly from the examples and applications featured. The book will also appeal to graduate students of applied statistics, data analysis and Bayesian methods, and will provide a great source of reference for both researchers and students. Praise for the First Edition: “It is a remarkable achievement to have carried out such a range of analysis on such a range of data sets. I found this book comprehensive and stimulating, and was thoroughly impressed with both the depth and the range of the discussions it contains.” – ISI - Short Book Reviews “This is an excellent introductory book on Bayesian modelling techniques and data analysis” – Biometrics “The book fills an important niche in the statistical literature and should be a very valuable resource for students and professionals who are utilizing Bayesian methods.” – Journal of Mathematical Psychology...",596,Mathematics,en,http://books.google.com/books/content?id=PthTOJyGGNIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
C言語による情報理論入門,久保田一，大石邦夫，福本昌弘,コロナ社,C言語による情報理論入門,"久保田一, 大石邦夫, 福本昌弘",,2007-06-18,,204,,ja,http://books.google.com/books/content?id=Wd7-PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
C言語による最新アルゴリズム事典,奥村晴彦,技術評論社,C言語による最新アルゴリズム事典,奧村晴彥,,1991,,448,Algorithms,ja,,1.0,1.0,1.0,0
DEEP LEARNING　深層学習,岩澤有祐，鈴木雅大，中山浩太郎，松尾豊,ASCII DWANGO,,,,,,,,,,,,,1
Data Mining ,I. Witten，E. Frank，M. Hall,Morgan kaufmann,"PENERAPAN DATA MINING DI BERBAGAI BIDANG : Konsep, Metode, dan Studi Kasus","Gellysa Urva, Desyanti, Isa Albanna, Muchamad Sobri Sungkar, I Made Agus Oka Gunawan, Iwan Adhicandra, Sahrul Ramadhan, Rifky Lana Rahardian, Herlawati, Rahmadya Trias Handayanto, Anak Agung Gede Bagus Ariana, Hartatik, Prima Dina Atika, Satrio Junaidi",PT. Sonpedia Publishing Indonesia,2023-05-14,"Buku ""Penerapan Data Mining di Berbagai Bidang: Konsep, Metode, dan Studi Kasus"" membahas tentang penggunaan data mining dalam berbagai bidang, seperti bisnis, industri, Media, pendidikan, dan lain-lain. Buku ini dimulai dengan pengenalan tentang apa itu data mining dan bagaimana penggunaannya dalam berbagai bidang. Selanjutnya, buku ini membahas tentang teknik-teknik data mining yang dapat digunakan, Data Preprocessing, Pembelajaran Mesin untuk Data Mining, Alat dan Perangkat Lunak Data Mining, Data Mining pada Big Data, dan Tren Masa Depan dalam Data Mining. Buku ini juga dilengkapi beberapa studi kasus penggunaan data mining dalam berbagai bidang. Misalnya, Analisis Sentimen dan Pemasaran pada Media Sosial Menggunakan Data Mining, Analisis Data Otomatis Berita Online: Mencari Pola dan Tren pada Topik Tertentu dengan Data Mining, Penerapan Data Mining dalam Meningkatkan Promosi bidang Industri Pariwisata, Penerapan Data Mining pada CRISP-DM, dan Implementasi Data Mining Pada Bidang Pendidikan untuk prediksi Kelulusan Tepat Waktu. Buku ""Penerapan Data Mining di Berbagai Bidang: Konsep, Metode, dan Studi Kasus"" cocok bagi para pemula yang ingin mempelajari konsep dasar data mining dan bagaimana penggunaannya dalam berbagai bidang. Namun, buku ini juga cocok bagi para ahli yang ingin meningkatkan pemahaman mereka tentang data mining dan menerapkannya dalam bidang mereka....",215,Computers,id,http://books.google.com/books/content?id=uq6-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
Data Mining With Decision Trees,L. Rokach，Oded Maimon,World Scientific,Data Mining with Decision Trees,Lior Rokach,World Scientific,2008,"This is the first comprehensive book dedicated entirely to the field of decision trees in data mining and covers all aspects of this important technique. Decision trees have become one of the most powerful and popular approaches in knowledge discovery and data mining, the science and technology of exploring large and complex bodies of data in order to discover useful patterns. The area is of great importance because it enables modeling and knowledge extraction from the abundance of data available. Both theoreticians and practitioners are continually seeking techniques to make the process more efficient, cost-effective and accurate. Decision trees, originally implemented in decision theory and statistics, are highly effective tools in other areas such as data mining, text mining, information extraction, machine learning, and pattern recognition. This book invites readers to explore the many benefits in data mining that decision trees offer:: Self-explanatory and easy to follow when compacted; Able to handle a variety of input data: nominal, numeric and textual; Able to process datasets that may have errors or missing values; High predictive performance for a relatively small computational effort; Available in many data mining packages over a variety of platforms; Useful for various tasks, such as classification, regression, clustering and feature selection . Sample Chapter(s). Chapter 1: Introduction to Decision Trees (245 KB). Chapter 6: Advanced Decision Trees (409 KB). Chapter 10: Fuzzy Decision Trees (220 KB). Contents: Introduction to Decision Trees; Growing Decision Trees; Evaluation of Classification Trees; Splitting Criteria; Pruning Trees; Advanced Decision Trees; Decision Forests; Incremental Learning of Decision Trees; Feature Selection; Fuzzy Decision Trees; Hybridization of Decision Trees with Other Techniques; Sequence Classification Using Decision Trees. Readership: Researchers, graduate and undergraduate students in information systems, engineering, computer science, statistics and management....",263,Computers,en,http://books.google.com/books/content?id=GlKIIR78OxkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
Data Mining for Design and Marketing,Yukio Ohsawa，Katsutoshi Yada,Chapman and Hall/CRC,,,,,,,,,,,,,1
Directional Statistics,K. Mardia，P. Jupp,WILEY INTERSCIENCE,Directional Statistics,"Kanti V. Mardia, Peter E. Jupp",John Wiley & Sons,2009-09-25,"Presents new and up-dated material on both the underlying theory and the practical methodology of directional statistics, helping the reader to utilise and develop the techniques appropriate to their work. The book is divided into three parts. The first part concentrates on statistics on the circle. Topics covered include tests of uniformity, tests of good-of-fit, inference on von Mises distributions and non-parametric methods. The second part considers statistics on spheres of arbitrary dimension, and includes a detailed account of inference on the main distributions on spheres. Recent material on correlation, regression time series, robust techniques, bootstrap methods, density estimation and curve fitting is presented. The third part considers statistics on more general sample spaces, in particular rotation groups, Stiefel manifolds, Grassmann manifolds and complex projective spaces. Shape analysis is considered from the perspective of directional statistics. Written by leading authors in the field, this text will be invaluable not only to researchers in probability and statistics interested in the latest developments in directional statistics, but also to practitioners and researchers in many scientific fields, including astronomy, biology, computer vision, earth sciences and image analysis....",460,Mathematics,en,http://books.google.com/books/content?id=PTNiCm4Q-M0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
EMアルゴリズム,黒田正博,共立出版,EMアルゴリズム,黒田正博,,2020-07,EMアルゴリズムについて深く理解できるように、定式化や収束性等の基本的な事項と、その理論的背景についてわかりやすく解説。...,176,,ja,http://books.google.com/books/content?id=b56uzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
Elements of Information Theory,T. M. Cover，J. A. Thomas,WILEY INTERSCIENCE,Elements of Information Theory,T. M. Cover,John Wiley & Sons,1999,"· Entropy, Relative Entropy and Mutual Information· The Asymptotic Equipartition Property· Entropy Rates of a Stochastic Process· Data Compression· Gambling and Data Compression· Kolmogorov Complexity· Channel Capacity· Differential Entropy· The Gaussian Channel· Maximum Entropy and Spectral Estimation· Information Theory and Statistics· Rate Distortion Theory· Network Information Theory· Information Theory and the Stock Market· Inequalities in Information Theory...",556,Information theory,en,http://books.google.com/books/content?id=3yGJrqyanyYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
Finite Mixture Models,Geoffrey McLachlan，David Peel,WILEY INTERSCIENCE,Finite Mixture Models,"Geoffrey McLachlan, David Peel",John Wiley & Sons,2004-03-22,"An up-to-date, comprehensive account of major issues in finitemixture modeling This volume provides an up-to-date account of the theory andapplications of modeling via finite mixture distributions. With anemphasis on the applications of mixture models in both mainstreamanalysis and other areas such as unsupervised pattern recognition,speech recognition, and medical imaging, the book describes theformulations of the finite mixture approach, details itsmethodology, discusses aspects of its implementation, andillustrates its application in many common statisticalcontexts. Major issues discussed in this book include identifiabilityproblems, actual fitting of finite mixtures through use of the EMalgorithm, properties of the maximum likelihood estimators soobtained, assessment of the number of components to be used in themixture, and the applicability of asymptotic theory in providing abasis for the solutions to some of these problems. The author alsoconsiders how the EM algorithm can be scaled to handle the fittingof mixture models to very large databases, as in data miningapplications. This comprehensive, practical guide: * Provides more than 800 references-40% published since 1995 * Includes an appendix listing available mixture software * Links statistical literature with machine learning and patternrecognition literature * Contains more than 100 helpful graphs, charts, and tables Finite Mixture Models is an important resource for both applied andtheoretical statisticians as well as for researchers in the manyareas in which finite mixture models can be used to analyze data....",419,Mathematics,en,http://books.google.com/books/content?id=c2_fAox0DQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
Flexible Imputation of Missing Data,S. Buuren,CRC Press,"Flexible Imputation of Missing Data, Second Edition",Stef van Buuren,CRC Press,2018-07-17,"Missing data pose challenges to real-life data analysis. Simple ad-hoc fixes, like deletion or mean imputation, only work under highly restrictive conditions, which are often not met in practice. Multiple imputation replaces each missing value by multiple plausible values. The variability between these replacements reflects our ignorance of the true (but missing) value. Each of the completed data set is then analyzed by standard methods, and the results are pooled to obtain unbiased estimates with correct confidence intervals. Multiple imputation is a general approach that also inspires novel solutions to old problems by reformulating the task at hand as a missing-data problem. This is the second edition of a popular book on multiple imputation, focused on explaining the application of methods through detailed worked examples using the MICE package as developed by the author. This new edition incorporates the recent developments in this fast-moving field. This class-tested book avoids mathematical and technical details as much as possible: formulas are accompanied by verbal statements that explain the formula in accessible terms. The book sharpens the reader’s intuition on how to think about missing data, and provides all the tools needed to execute a well-grounded quantitative analysis in the presence of missing data....",444,Mathematics,en,http://books.google.com/books/content?id=lzb3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
Foundations of Statistical Natural Language Processing,C.D. Manning，Hinrich schutze,MIT press,Foundations of Statistical Natural Language Processing,"Christopher Manning, Hinrich Schutze",MIT Press,1999-05-28,"Statistical approaches to processing natural language text have become dominant in recent years. This foundational text is the first comprehensive introduction to statistical natural language processing (NLP) to appear. The book contains all the theory and algorithms needed for building NLP tools. It provides broad but rigorous coverage of mathematical and linguistic foundations, as well as detailed discussion of statistical methods, allowing students and researchers to construct their own implementations. The book covers collocation finding, word sense disambiguation, probabilistic parsing, information retrieval, and other applications....",722,Language Arts & Disciplines,en,http://books.google.com/books/content?id=YiFDxbEX3SUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
Google英文ライティング 英語がどんどん書けるようになる本,遠田和子,講談社インターナショナル,Ｇｏｏｇｌｅ英文ライティング　英語がどんどん書けるようになる本,遠田和子,講談社,,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 英文メールを書いていて、「本当にこれでいいのかなあ」と思ったことはありませんか？ 日本語を英訳している際、辞書を引いてもどの単語を使ったらいいのか迷ったことはありませんか？ そんなときは2つの簡単な方法を使ってＧｏｏｇｌｅ検索をしてみましょう。ウェブ上に広がる知識が巨大なデータベースとなり、自分専用の辞書にも、ネイティブ・チェッカーにもなるのです。ライティングに関する悩みを解消する画期的一冊。...,227,Foreign Language Study,ja,http://books.google.com/books/content?id=WuymBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
Hidden Markov Models and Dynamical Systems,A. Fraser,siam,"Dynamic Probabilistic Systems, Volume I",Ronald A. Howard,Courier Corporation,2007-06-05,"An integrated work in two volumes, this text teaches readers to formulate, analyze, and evaluate Markov models. The first volume treats basic process; the second, semi-Markov and decision processes. 1971 edition....",610,Mathematics,en,http://books.google.com/books/content?id=DU06AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
Human-in-the-loop機械学習　人間参加型AIのための能動学習とアノテーション,Robert(Munro)Monarch，上田隼也，角野為耶，伊藤寛祥,共立出版,Human-in-the-Loop機械学習,Robert (Munro) Monarch,,2023-12-25,人と協調する機械学習(Human-in-the-Loop機械学習)の活用で、効率よく高品質なデータを作成していく方法を学ぶ。...,0,,ja,http://books.google.com/books/content?id=g90-0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
Information Theory -coding theorems ofr discrete memoryless systems-,Criszar，Korner,CAMBRIDGE,Information Theoretic Perspectives on 5G Systems and Beyond,"Ivana Marić, Shlomo Shamai (Shitz), Osvaldo Simeone",,2022-06-15,"Understand key information-theoretic principles that underpin the design of next-generation cellular systems with this invaluable resource. This book is the perfect tool for researchers and graduate students in the field of information theory and wireless communications, as well as for practitioners in the telecommunications industry....",768,Language Arts & Disciplines,en,http://books.google.com/books/content?id=HeZ3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
"Information Theory, inference, and Learning Algorithms",D. C. Mackay,CAMBRIDGE,"Information Theory, Inference and Learning Algorithms",David J. C. MacKay,Cambridge University Press,2003-09-25,"Information theory and inference, taught together in this exciting textbook, lie at the heart of many important areas of modern technology - communication, signal processing, data mining, machine learning, pattern recognition, computational neuroscience, bioinformatics and cryptography. The book introduces theory in tandem with applications. Information theory is taught alongside practical communication systems such as arithmetic coding for data compression and sparse-graph codes for error-correction. Inference techniques, including message-passing algorithms, Monte Carlo methods and variational approximations, are developed alongside applications to clustering, convolutional codes, independent component analysis, and neural networks. Uniquely, the book covers state-of-the-art error-correcting codes, including low-density-parity-check codes, turbo codes, and digital fountain codes - the twenty-first-century standards for satellite communications, disk drives, and data broadcast. Richly illustrated, filled with worked examples and over 400 exercises, some with detailed solutions, the book is ideal for self-learning, and for undergraduate or graduate courses. It also provides an unparalleled entry point for professionals in areas as diverse as computational biology, financial engineering and machine learning....",694,Computers,en,http://books.google.com/books/content?id=AKuMj4PN_EMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
Kaggleで勝つデータ分析の技術,門脇大輔，阪田隆司，保坂桂佑，平松雄司,技術評論社,Kaggleで勝つデータ分析の技術,"門脇大輔, 阪田隆司, 保坂桂佑, 平松雄司",,2019-10,,407,,ja,http://books.google.com/books/content?id=SY-KygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
Kaggleで学んでハイスコアをたたき出す！ Python機械学習&データ分析,チームカルポ,秀和システム,Kaggleで学んでﾊｲｽｺｱをたたき出す!Python機械学習&ﾃﾞｰﾀ分析,チーム・カルポ,秀和システム,2020-08,,479,,ja,http://books.google.com/books/content?id=qbgCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
Kaggleで磨く 機械学習の実践力--実務xコンペが鍛えたプロの手順,諸橋政幸,リックテレコム,Kaggleで磨く機械学習の実践力--実務xコンペが鍛えたプロの手順,諸橋政幸,,2022-05-23,●Kaggleは楽しい! Kaggleは誰でも気軽に参加できるデータ分析の競技コンペです。 コンペで試した技を、実務に応用する――そのシナジーにより、みるみる実力が付きます。 Kaggleマスターの著者自身がそうして得たノウハウを、惜しげもなく本書では公開します。 しかし、本書を通じてお伝えしたいのは、何よりKaggleのワクワク感です!...,376,,ja,http://books.google.com/books/content?id=Pq4ZzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
LightGBM予測モデル実装ハンドブック,毛利拓也,秀和システム,LightGBM予測ﾓﾃﾞﾙ実装ﾊﾝﾄﾞﾌﾞｯｸ,毛利拓也,秀和システム,2023-06,LightGBMを使った予測モデルの解説書です。...,365,Reference,ja,http://books.google.com/books/content?id=6SDOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
MATLABプログラミング入門,上坂吉則,牧野書店,MATLABプログラミング入門,上坂吉則,,2011-05,,217,,ja,http://books.google.com/books/content?id=YIqOKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
MATLAB可視化プログラミング,上坂吉則,牧野書店,Scilabプログラミング入門,上坂吉則,,2010-01,,218,,ja,http://books.google.com/books/content?id=f3UkQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,1.0,1.0,0
